id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Lola;Rogahn;Lily.Kihn75@yahoo.com;repurpose withdrawal;2021-04-12T15:59:40;71697;45464
2;Carey;O'Conner;Johnathon.Hammes@gmail.com;withdrawal;2021-04-12T19:56:32;75289;21024
3;Wilfrid;Spencer;Adan.Goodwin@gmail.com;Sleek;2021-04-12T04:59:56;71090;65309
4;Laurence;Gaylord;Alessia.Heathcote@hotmail.com;reinvent orchestrate;2021-04-12T00:29:33;52820;82484
5;Karson;Hammes;Eriberto14@hotmail.com;mobile Granite;2021-04-12T19:07:27;13439;33970
6;Aisha;Carroll;Fern.Ortiz73@gmail.com;Jersey time-frame;2021-04-12T03:53:39;64329;13556
7;Dedrick;Cremin;Karli72@yahoo.com;Devolved rich;2021-04-12T06:23:47;54588;45928
8;Clare;Willms;Bradley8@yahoo.com;payment Illinois;2021-04-12T20:27:11;3244;21747
9;Mariela;Spinka;Hope_Cruickshank98@hotmail.com;white;2021-04-12T11:47:50;90189;81327
10;Ada;Robel;Brent79@gmail.com;Table Alaska Checking;2021-04-12T00:28:00;32637;8639
